system,external_leakage_asr,internal_leakage_rate,final_output_leakage_rate,clean_task_success_rate,attacked_task_success_rate
LangGraph,0.375,0.6666666666666666,0.375,1.0,0.7916666666666666
AgentDojo,0.16666666666666666,0.9583333333333334,0.16666666666666666,1.0,1.0
AutoGen official,0.20833333333333334,1.0,0.20833333333333334,1.0,0.75
CrewAI official,0.2916666666666667,0.9166666666666666,0.2916666666666667,0.75,0.4583333333333333
